Recent Activity
Category,Source,Destination,Data,Last Seen
Open Ports per Connection,10.160.120.87,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,10.161.45.241,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,172.16.5.20,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,B13TNHR20 (172.16.0.81) (DHCP),172.16.0.87 (DHCP),"Port: 27018, Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,swarm (172.16.0.88) (DHCP),172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Channels Using Non-Standard Ports,10.161.45.241,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Channels Using Non-Standard Ports,172.16.5.20,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Channels Using Non-Standard Ports,B13TNHR20 (172.16.0.81) (DHCP),172.16.0.87 (DHCP),"Port: 27018, Transport: TCP",09/07/2022 08:23:01
Channels Using Non-Standard Ports,swarm (172.16.0.88) (DHCP),172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Channels Using Non-Standard Ports,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:01
Open Ports per Connection,10.161.46.120,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:00
Open Ports per Connection,172.16.0.84 (DHCP),172.16.0.87 (DHCP),"Port: MQTT (1883), Transport: TCP",09/07/2022 08:23:00
Open Ports per Connection,B13TNHR21 (172.16.0.82) (DHCP),172.16.0.87 (DHCP),"Port: 9000, Transport: TCP",09/07/2022 08:23:00
Channels Using Non-Standard Ports,10.161.46.120,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:23:00
Channels Using Non-Standard Ports,B13TNHR21 (172.16.0.82) (DHCP),172.16.0.87 (DHCP),"Port: 9000, Transport: TCP",09/07/2022 08:23:00
Open Ports per Connection,10.160.119.155,172.16.0.87 (DHCP),"Port: HTTPS (443), Transport: TCP",09/07/2022 08:22:59
Open Ports per Connection,10.160.123.67,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Open Ports per Connection,172.16.3.40,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Open Ports per Connection,172.16.8.220,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Open Ports per Connection,B13TNHR36 (10.161.45.3),172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Open Ports per Connection,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 7946, Transport: UDP",09/07/2022 08:22:59
Channels Using Non-Standard Ports,10.160.123.67,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Channels Using Non-Standard Ports,172.16.3.40,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Channels Using Non-Standard Ports,172.16.8.220,172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Channels Using Non-Standard Ports,B13TNHR36 (10.161.45.3),172.16.0.87 (DHCP),"Port: 8883, Transport: TCP",09/07/2022 08:22:59
Channels Using Non-Standard Ports,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 7946, Transport: UDP",09/07/2022 08:22:59
Open Ports per Connection,swarm (172.16.0.88) (DHCP),172.16.0.87 (DHCP),"Port: 7946, Transport: TCP",09/07/2022 08:22:53
Open Ports per Connection,172.16.0.87 (DHCP),swarm (172.16.0.88) (DHCP),"Port: 7946, Transport: TCP",09/07/2022 08:22:53
